City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
batagay,67.6333,134.6333,-20.99,82.0,0.0,1.63,RU,1612922189.0
zyryanovsk,49.7386,84.2719,-9.4,83.0,44.0,1.86,KZ,1612922189.0
san julian,21.0167,-102.1667,62.74,30.0,83.0,4.03,MX,1612922189.0
nashville,36.1659,-86.7844,48.2,81.0,90.0,6.91,US,1612922028.0
tuktoyaktuk,69.4541,-133.0374,-38.2,67.0,20.0,4.61,CA,1612922190.0
chokurdakh,70.6333,147.9167,-13.94,87.0,0.0,2.53,RU,1612922190.0
hervey bay,-25.2986,152.8535,80.01,59.0,17.0,8.99,AU,1612922190.0
nortelandia,-14.4547,-56.8028,74.52,65.0,10.0,2.17,BR,1612922190.0
san jose,37.3394,-121.895,59.0,67.0,75.0,8.05,US,1612922117.0
kindu,-2.95,25.95,70.02,77.0,100.0,0.18,CD,1612922196.0
coahuayana,18.7333,-103.6833,71.6,78.0,40.0,1.79,MX,1612922196.0
russell,32.3502,-85.1999,60.8,94.0,90.0,1.79,US,1612922196.0
hasaki,35.7333,140.8333,48.0,36.0,75.0,8.05,JP,1612922196.0
broken hill,-31.95,141.4333,89.6,23.0,0.0,4.61,AU,1612922197.0
taitung,22.7583,121.1444,68.0,73.0,75.0,5.75,TW,1612922197.0
boa viagem,-5.1275,-39.7322,72.99,89.0,99.0,1.36,BR,1612922197.0
katsuura,35.1333,140.3,48.2,29.0,75.0,5.75,JP,1612922197.0
ha tinh,18.3333,105.9,63.37,84.0,92.0,5.23,VN,1612922003.0
pangnirtung,66.1451,-65.7125,6.04,77.0,0.0,3.38,CA,1612921899.0
kavieng,-2.5744,150.7967,84.63,75.0,84.0,9.04,PG,1612922197.0
ambulu,-8.345,113.6058,81.88,78.0,72.0,2.91,ID,1612922198.0
lagoa,39.05,-27.9833,58.98,87.0,100.0,13.33,PT,1612922198.0
champerico,14.3,-91.9167,68.0,95.0,27.0,8.68,GT,1612922198.0
paita,-5.0892,-81.1144,74.52,81.0,100.0,9.06,PE,1612922198.0
orlik,52.5178,99.825,13.12,91.0,100.0,3.02,RU,1612922198.0
bara,10.3744,10.7288,73.71,18.0,2.0,10.98,NG,1612922199.0
vazante,-17.9869,-46.9078,66.31,91.0,1.0,2.71,BR,1612922199.0
zima,53.9202,102.0442,13.98,92.0,100.0,6.26,RU,1612922199.0
cayenne,4.9333,-52.3333,78.8,73.0,40.0,6.91,GF,1612922199.0
sayyan,15.1718,44.3244,42.76,79.0,0.0,4.45,YE,1612922199.0
san fernando,15.0286,120.6898,80.6,69.0,75.0,4.61,PH,1612922184.0
vardo,70.3705,31.1107,21.56,89.0,100.0,13.31,NO,1612922200.0
saint-joseph,-21.3667,55.6167,78.8,57.0,0.0,6.91,RE,1612922200.0
avarua,-21.2078,-159.775,84.2,74.0,20.0,10.36,CK,1612922200.0
provideniya,64.3833,-173.3,-2.2,71.0,0.0,29.08,RU,1612922200.0
lucapa,-8.4192,20.7447,65.35,96.0,97.0,2.3,AO,1612921944.0
talnakh,69.4865,88.3972,-9.78,89.0,99.0,3.06,RU,1612922201.0
yagodnoye,62.55,149.6667,5.14,91.0,100.0,5.28,RU,1612922201.0
uyuni,-20.4597,-66.825,54.3,42.0,0.0,9.17,BO,1612922201.0
acapulco,16.8634,-99.8901,80.6,74.0,1.0,4.61,MX,1612921946.0
